x y
500 -6.799847500553247
1000 -6.362541270147451
2000 -6.322509937296191
4000 -6.046778912314708
500 -7.438015318480641
1000 -5.637562127714056
2000 -7.055839174293652
4000 -5.467783441102334
500 -4.809523374277065
1000 -6.532016041752986
2000 -6.585198264287729
4000 -5.484625850894137
500 -6.48331732976262
1000 -5.652623202026746
2000 -6.1410952966383965
4000 -6.231118491450868
500 -5.504521429454392
1000 -5.497193806650488
2000 -7.026003666045304
4000 -5.612716870687049
500 -6.159249058125736
1000 -7.701392520955107
2000 -5.989825740643685
4000 -7.019636547141046
500 -6.9903002741150715
1000 -7.095199577797848
2000 -5.676640771481571
4000 -6.960548283484949
500 -6.005083667043943
1000 -6.573377295878533
2000 -5.543553103784899
4000 -5.566775093583545
500 -5.619778358819255
1000 -5.979920463259673
2000 -5.502891752294532
4000 -5.665023679288058
500 -7.354556758099683
1000 -8.001136659510358
2000 -5.810629129762027
4000 -6.636151988081513
500 -8.294749898655727
1000 -7.449613929359961
2000 -5.67894454909945
4000 -6.165210668187419
500 -5.340866677073376
1000 -6.510331045439935
2000 -5.8046577119642375
4000 -6.149000121745826
500 -8.08647034580846
1000 -6.415767213697711
2000 -6.621711098577978
4000 -6.2011246920023
500 -9.994549130086126
1000 -5.889038144926765
2000 -7.021499436017093
4000 -5.184834361600504
500 -5.810151605920419
1000 -7.086205968046172
2000 -5.134832885350221
4000 -5.844129778119836
500 -8.214221053193869
1000 -5.264521211229987
2000 -5.902813215134844
4000 -6.018800134373209
500 -8.64807076032607
1000 -5.889996873614054
2000 -6.275585092068219
4000 -6.008363309423254
500 -5.830701205140245
1000 -6.45459476488326
2000 -6.639948034678326
4000 -6.581582806702555
500 -7.295672523895508
1000 -7.159651997243403
2000 -6.6241199836559534
4000 -6.2433363099194
500 -8.826199094466759
1000 -7.582579700333791
2000 -6.47017482434449
4000 -6.356710510809848
500 -5.862636782183435
1000 -5.308739759935707
2000 -5.828822742935211
4000 -6.068356472466041
500 -6.274878083477708
1000 -4.585259904981188
2000 -6.20168525434881
4000 -6.108643214343656
500 -7.036434048701276
1000 -6.67174945600606
2000 -6.623511112680079
4000 -6.298516413437216
500 -8.79604479144507
1000 -6.635065416587542
2000 -6.830674104198758
4000 -6.055479969465511
500 -6.2966419119315775
1000 -6.088447343252924
2000 -6.60650454507705
4000 -6.012591098454077
500 -5.315300931640772
1000 -5.529640284482146
2000 -5.426936752216481
4000 -5.803094780485964
500 -6.55132016044645
1000 -5.550737145492063
2000 -6.33707682254498
4000 -6.460929004520377
500 -6.729936108911112
1000 -6.8904861350730116
2000 -5.367445853581879
4000 -5.842977269245003
500 -8.250554460956694
1000 -5.59018008013917
2000 -7.0256472692064635
4000 -6.1569728231492595
500 -6.582568292159713
1000 -6.155281862989721
2000 -5.758681499351965
4000 -5.585361032434697
500 -6.3757968107693435
1000 -6.370597436845263
2000 -6.417742860162553
4000 -5.723362880348004
500 -5.4207738712469435
1000 -5.984167107060687
2000 -6.372299464093316
4000 -5.930599288523838
500 -7.03398336840742
1000 -5.37731110656319
2000 -6.028641574600835
4000 -6.070239767751551
500 -5.835926119865279
1000 -6.352111867209557
2000 -6.216938218833699
4000 -5.7644385027945475
500 -6.076787812337423
1000 -6.2770483017255945
2000 -6.990250985291559
4000 -5.8997329443595525
500 -8.924789007921756
1000 -6.08935963910961
2000 -6.401258249014004
4000 -5.9727387294505245
500 -5.966180784898982
1000 -6.236702584401083
2000 -5.51317852008237
4000 -6.222300421245922
500 -7.18019164704374
1000 -6.445851913891515
2000 -6.581036339430388
4000 -7.021752138944503
500 -7.562066246992506
1000 -6.039604868963617
2000 -5.617043510814886
4000 -6.017347929144988
500 -7.548071568483469
1000 -5.05378516474708
2000 -5.846504570287332
4000 -6.089463817487623
500 -3.8338975687783643
1000 -6.859442222256352
2000 -6.442062801979955
4000 -6.521801048529598
500 -7.3447077681821344
1000 -6.536975134402103
2000 -5.755654785495866
4000 -6.077239576423772
500 -8.206678639937163
1000 -7.538696767707696
2000 -7.132824140456691
4000 -5.9285960194882374
500 -6.016811307016443
1000 -5.866419661760294
2000 -5.623269842847234
4000 -6.315531706682227
500 -4.872102359854692
1000 -7.889457432020196
2000 -6.0048317805360485
4000 -7.277705767309266
500 -5.546680991966333
1000 -5.491735622025775
2000 -6.834455702802464
4000 -5.402847588959043
500 -7.856885286053867
1000 -5.990549739063585
2000 -5.757141992369284
4000 -6.213708316871962
500 -6.09456659441929
1000 -4.630041086520757
2000 -6.013679931527593
4000 -6.29325736344627
500 -7.06096162252569
1000 -7.359677240792663
2000 -5.431868128069739
4000 -6.387320608145007
500 -6.749999944893732
1000 -5.7242117229657214
2000 -5.731777705119746
4000 -5.274848991483872
500 -6.069893599487465
1000 -6.368598490934397
2000 -6.516518386030495
4000 -6.343105260262323
500 -6.114240454492194
1000 -4.879346666054445
2000 -5.92626001521142
4000 -6.386458775463488
500 -6.786053141717481
1000 -6.91324456851263
2000 -6.497988582413628
4000 -6.520330365633942
500 -5.595243211415799
1000 -6.286228074455545
2000 -4.950280813676489
4000 -5.971068340687998
500 -6.93891898566099
1000 -5.877494009358778
2000 -5.722291179000008
4000 -5.8177621676555145
500 -5.70480298926749
1000 -7.028838346325048
2000 -7.061812981746733
4000 -5.275294260220443
500 -7.366473589641688
1000 -6.010788209360027
2000 -5.040044767040014
4000 -6.295245758662689
500 -6.335523349058444
1000 -6.034595076728199
2000 -6.4454168532996485
4000 -6.486912397134535
500 -6.895491520166524
1000 -6.898570788673865
2000 -6.438378468746112
4000 -6.38969522207759
500 -5.188324986516978
1000 -6.673485501187493
2000 -5.333414202498462
4000 -6.850437995740435
500 -7.397025318920096
1000 -5.8517336441835415
2000 -5.239259782353961
4000 -5.8685873326319555
500 -6.984242812784532
1000 -6.310311418083507
2000 -6.683271115709502
4000 -5.643118718312403
500 -4.806690394843238
1000 -6.422213206696775
2000 -5.198323144505705
4000 -5.970900437343472
500 -5.239056086098252
1000 -5.789033447242386
2000 -6.315416167069132
4000 -5.599567193188344
500 -7.451451609528984
1000 -7.275725504171322
2000 -6.091739465249926
4000 -6.357522290315088
500 -6.619055849362878
1000 -6.0599771955337225
2000 -6.718559583034033
4000 -5.695670760998155
500 -8.827536012351992
1000 -5.985209705454413
2000 -5.415427374826733
4000 -5.759972096355541
500 -5.645222869392619
1000 -7.659759051290312
2000 -7.412739707795872
4000 -6.506202477311831
500 -7.085576449059694
1000 -7.114621640606797
2000 -6.589997104641105
4000 -6.173437378391883
500 -5.412686924800573
1000 -4.891110258958414
2000 -6.624628367106695
4000 -6.531029759924918
500 -6.122965142847133
1000 -5.7932837372396415
2000 -5.922877676345822
4000 -5.369236821451713
500 -8.156361134741196
1000 -6.195992343066598
2000 -7.046404648544341
4000 -5.618011539397026
500 -6.24871571702943
1000 -5.433447642098562
2000 -5.938822612542595
4000 -5.986947352144909
500 -6.487770963509545
1000 -5.345577118127588
2000 -5.461473789826692
4000 -6.363928648601642
500 -5.619205212115615
1000 -7.111625391023942
2000 -5.54805595412878
4000 -6.276031144682725
500 -5.542425474431763
1000 -6.461115030577289
2000 -6.466346558814629
4000 -6.114581126525956
500 -7.174537042583701
1000 -7.9996103819579005
2000 -6.210204269550428
4000 -5.473801753713849
500 -6.616605997771566
1000 -6.101396107577425
2000 -6.83710345699726
4000 -5.9082162259367
500 -7.44905131736673
1000 -6.953497590954707
2000 -5.955502977570738
4000 -6.985289197059329
500 -6.475460902689756
1000 -6.4513564173814615
2000 -6.150145409876222
4000 -5.480559525857748
500 -6.694785886213494
1000 -7.32653977884562
2000 -6.612688307922875
4000 -5.86331401931942
500 -7.530265098812247
1000 -6.689540843492857
2000 -6.289114337736641
4000 -5.962865645368648
500 -6.020336302203402
1000 -5.292688728825322
2000 -7.665627615578486
4000 -5.985697350874435
500 -7.99105899497739
1000 -8.14428828578498
2000 -6.477660668525668
4000 -6.0808701069541025
500 -6.033188581782778
1000 -6.163259769747395
2000 -7.173475484804568
4000 -5.746996624942699
500 -6.578729851205429
1000 -6.018817334174542
2000 -6.115363353130874
4000 -6.095485855143785
500 -9.431415161444182
1000 -6.1624274196600854
2000 -5.01777103324949
4000 -6.799909163246326
500 -8.286375694841814
1000 -5.126963755825152
2000 -5.86342847210663
4000 -6.887685045894607
500 -7.701193422959713
1000 -7.109051160275298
2000 -6.4397079564409685
4000 -6.630528033782373
500 -7.120350705979488
1000 -6.008238872503524
2000 -5.9303933153127675
4000 -6.530181576965832
500 -5.853860234381992
1000 -5.270403582291728
2000 -6.281353404214464
4000 -5.866844131265408
500 -6.859873173298948
1000 -6.544968369911041
2000 -7.19173587888653
4000 -6.11859946118745
500 -5.9544251285898175
1000 -6.01715068042688
2000 -7.3506887312843325
4000 -5.654359583131038
500 -5.611023083026174
1000 -6.214327369651684
2000 -6.774751100289819
4000 -6.3823904845733885
500 -5.6475767339168
1000 -5.379521751656526
2000 -6.020067578666538
4000 -6.217804251078591
500 -6.645383948931283
1000 -6.395234631460499
2000 -5.830256508274076
4000 -5.490912382744512
500 -8.686458624269605
1000 -5.850046404545085
2000 -7.210622607454807
4000 -6.043424255375571
500 -6.544235993463243
1000 -7.054944431364188
2000 -5.6342657131678004
4000 -7.263251851395649
500 -5.635457281341082
1000 -4.917497495110738
2000 -6.042770419868339
4000 -6.299418578713
500 -8.393378344811907
1000 -6.635987117544679
2000 -6.186572503798087
4000 -6.2963699334210865
